
=== Parasoft C/C++test - Code Coverage Report ===

* LC - Line Coverage
* DC - Decision (Branch) Coverage
* SCC - Simple Condition Coverage
* MCDC - Modified Condition Decision Coverage

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/buffer/include/iox/detail/stack.inl LC=96% 43/45   DC=89% 16/18   SCC=89% 16/18  MCDC=78% 7/9   
  iox::posix::tryOpenExistingSemaphore(iox::optional<iox::posix::NamedSemaphore> &, const iox::string<(unsigned long)250> &) LC=39% 7/18    DC=33% 3/9     SCC=21% 3/14   MCDC=14% 1/7   
  iox::posix::unlink(const iox::string<(unsigned long)250> &) LC=38% 3/8     DC=25% 1/4     SCC=17% 1/6    MCDC=0% 0/3    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/posix_access_rights.cpp LC=38% 26/68   DC=31% 8/26    SCC=23% 12/52  MCDC=15% 4/26  

  iox::posix::PosixGroup::PosixGroup(const iox::string<(unsigned long)32> &) LC=0% 0/5      DC=0% 0/2      SCC=0% 0/4     MCDC=0% 0/2    
  iox::posix::PosixGroup::PosixGroup(unsigned int) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixGroup::doesExist() const LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::PosixGroup::getGroupID(const iox::string<(unsigned long)32> &) LC=100% 5/5    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::PosixGroup::getGroupName(unsigned int) LC=100% 5/5    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::PosixGroup::getGroupOfCurrentProcess() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixGroup::getID() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixGroup::getName() const LC=0% 0/4      DC=0% 0/2      SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::PosixGroup::operator ==(const iox::posix::PosixGroup&) const LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::PosixUser::PosixUser(const iox::string<(unsigned long)32> &) LC=0% 0/5      DC=0% 0/2      SCC=0% 0/4     MCDC=0% 0/2    
  iox::posix::PosixUser::PosixUser(unsigned int) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixUser::doesExist() const LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::PosixUser::getGroups() const LC=0% 0/21     DC=0% 0/10     SCC=0% 0/18    MCDC=0% 0/9    
  iox::posix::PosixUser::getID() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixUser::getName() const LC=0% 0/4      DC=0% 0/2      SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::PosixUser::getUserID(const iox::string<(unsigned long)32> &) LC=100% 5/5    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::PosixUser::getUserName(unsigned int) LC=100% 5/5    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::PosixUser::getUserOfCurrentProcess() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/scheduler.cpp LC=0% 0/12     DC=0% 0/4      SCC=0% 0/8     MCDC=0% 0/4    

  iox::posix::getSchedulerPriorityMaximum(iox::posix::Scheduler) LC=0% 0/6      DC=0% 0/2      SCC=0% 0/4     MCDC=0% 0/2    
  iox::posix::getSchedulerPriorityMinimum(iox::posix::Scheduler) LC=0% 0/6      DC=0% 0/2      SCC=0% 0/4     MCDC=0% 0/2    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/semaphore_interface.cpp LC=64% 18/28   DC=50% 6/12    SCC=44% 8/18   MCDC=22% 2/9   

  iox::posix::internal::SemaphoreInterface<T1>::getHandle() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::internal::SemaphoreInterface<T1>::post() LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::posix::internal::SemaphoreInterface<T1>::timedWait(const iox::units::Duration &) LC=80% 4/5     DC=50% 1/2     SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::internal::SemaphoreInterface<T1>::tryWait() LC=75% 3/4     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::internal::SemaphoreInterface<T1>::wait() LC=75% 3/4     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::internal::errnoToEnum(int) LC=30% 3/10    DC=25% 1/4     SCC=13% 1/8    MCDC=0% 0/4    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/shared_memory_object.cpp LC=67% 33/49   DC=69% 11/16   SCC=47% 17/36  MCDC=17% 3/18  

  iox::posix::SharedMemoryObject::SharedMemoryObject(iox::posix::SharedMemory &&, iox::posix::MemoryMap &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObject::getBaseAddress() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObject::getBaseAddress() const LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObject::getFileHandle() const LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObject::get_file_handle() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObject::hasOwnership() const LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::SharedMemoryObjectBuilder::create() LC=74% 25/34   DC=71% 10/14   SCC=50% 15/30  MCDC=20% 3/15  
  iox::posix::SharedMemoryObjectBuilder::create()::[lambda() (instance 1)] LC=100% 2/2    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::SharedMemoryObjectBuilder::create()::[lambda() (instance 1)]::operator ()() const::[lambda(iox::log::LogStream &) (instance 1)] LC=75% 3/4     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::memsetSigbusHandler(int) LC=0% 0/3      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/shared_memory_object/memory_map.cpp LC=35% 20/57   DC=29% 7/24    SCC=16% 7/44   MCDC=5% 1/22   

  iox::posix::MemoryMap::MemoryMap(iox::posix::MemoryMap&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMap::MemoryMap(void *, unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMap::destroy() LC=67% 6/9     DC=75% 3/4     SCC=50% 3/6    MCDC=33% 1/3   
  iox::posix::MemoryMap::errnoToEnum(int) LC=0% 0/26     DC=0% 0/12     SCC=0% 0/24    MCDC=0% 0/12   
  iox::posix::MemoryMap::getBaseAddress() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMap::getBaseAddress() const LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMap::operator =(iox::posix::MemoryMap&&) LC=88% 7/8     DC=50% 2/4     SCC=33% 2/6    MCDC=0% 0/3    
  iox::posix::MemoryMap::~MemoryMap() LC=50% 1/2     DC=50% 1/2     SCC=25% 1/4    MCDC=0% 0/2    
  iox::posix::MemoryMapBuilder::create() LC=38% 3/8     DC=50% 1/2     SCC=25% 1/4    MCDC=0% 0/2    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/shared_memory_object/shared_memory.cpp LC=70% 73/105  DC=63% 26/41   SCC=53% 51/96  MCDC=38% 18/48 

  iox::posix::SharedMemory::SharedMemory(const iox::string<(unsigned long)4096> &, int, bool) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemory::SharedMemory(iox::posix::SharedMemory&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemory::close() LC=100% 5/5    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::SharedMemory::close()::[lambda(T1 &) (instance 1)] LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::SharedMemory::destroy() LC=100% 2/2    DC=N/A         SCC=50% 2/4    MCDC=0% 0/2    
  iox::posix::SharedMemory::errnoToEnum(int) LC=19% 5/27    DC=15% 2/13    SCC=8% 2/26    MCDC=0% 0/13   
  iox::posix::SharedMemory::getHandle() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemory::get_file_handle() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemory::hasOwnership() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::posix::SharedMemory::operator =(iox::posix::SharedMemory&&) LC=100% 7/7    DC=50% 1/2     SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::SharedMemory::reset() LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemory::unlink() LC=75% 6/8     DC=75% 3/4     SCC=50% 4/8    MCDC=25% 1/4   
  iox::posix::SharedMemory::unlinkIfExist(const iox::string<(unsigned long)4096> &) LC=80% 4/5     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::SharedMemory::~SharedMemory() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::create() LC=88% 30/34   DC=94% 17/18   SCC=87% 33/38  MCDC=74% 14/19 
  iox::posix::SharedMemoryBuilder::create()::[lambda() (instance 1)] LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::SharedMemoryBuilder::create()::[lambda() (instance 2)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::create()::[lambda(T1 &) (instance 1)] LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::SharedMemoryBuilder::create()::[lambda(T1 &) (instance 2)] LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::addLeadingSlash(const iox::string<(unsigned long)4096> &) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/signal_handler.cpp LC=72% 13/18   DC=67% 4/6     SCC=33% 4/12   MCDC=17% 1/6   

  iox::posix::SignalGuard::SignalGuard(iox::posix::Signal, const sigaction &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SignalGuard::SignalGuard(iox::posix::SignalGuard&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SignalGuard::restorePreviousAction() LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::posix::SignalGuard::restorePreviousAction()::[lambda(T1 &) (instance 1)] LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::SignalGuard::~SignalGuard() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::registerSignalHandler(iox::posix::Signal, void (*)(int)) LC=64% 7/11    DC=50% 2/4     SCC=25% 2/8    MCDC=0% 0/4    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/system_configuration.cpp LC=0% 0/3      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    

  iox::internal::pageSize()        LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::pageSize()::[lambda(T1 &) (instance 1)] LC=0% 0/2      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/thread.cpp LC=39% 17/44   DC=23% 3/13    SCC=14% 4/28   MCDC=0% 0/14   

  iox::posix::Thread::Thread(const iox::string<(unsigned long)15> &, const iox::storable_function<(unsigned long)128, void ()> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::Thread::errnoToEnum(int) LC=0% 0/11     DC=0% 0/5      SCC=0% 0/10    MCDC=0% 0/5    
  iox::posix::Thread::getName() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::Thread::startRoutine(void *) LC=100% 5/5    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::Thread::startRoutine(void *)::[lambda(T1 &) (instance 1)] LC=0% 0/2      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::Thread::~Thread()    LC=38% 3/8     DC=33% 2/6     SCC=25% 2/8    MCDC=0% 0/4    
  iox::posix::ThreadBuilder::create(iox::optional<iox::posix::Thread> &, const iox::storable_function<(unsigned long)128, void ()> &) LC=75% 6/8     DC=50% 1/2     SCC=50% 2/4    MCDC=0% 0/2    
  iox::posix::getThreadName(unsigned long) LC=0% 0/3      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::getThreadName(unsigned long)::[lambda(T1 &) (instance 1)] LC=0% 0/2      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::setThreadName(unsigned long, const iox::string<(unsigned long)15> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::setThreadName(unsigned long, const iox::string<(unsigned long)15> &)::[lambda(T1 &) (instance 1)] LC=0% 0/2      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/types.cpp LC=100% 19/19  DC=100% 12/12  SCC=50% 3/6    MCDC=0% 0/3    

  iox::posix::convertToOflags(iox::posix::AccessMode) LC=100% 6/6    DC=100% 4/4    SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::convertToOflags(iox::posix::AccessMode, iox::posix::OpenMode) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::convertToOflags(iox::posix::OpenMode) LC=100% 6/6    DC=100% 4/4    SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::convertToProtFlags(iox::posix::AccessMode) LC=100% 6/6    DC=100% 4/4    SCC=50% 1/2    MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/unix_domain_socket.cpp LC=57% 92/162  DC=49% 38/78   SCC=36% 40/112 MCDC=18% 10/56 

  iox::posix::UnixDomainSocket::UnixDomainSocket(const iox::string<(unsigned long)100> &, iox::posix::IpcChannelSide, unsigned long, unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnixDomainSocket::UnixDomainSocket(const iox::string<(unsigned long)100> &, iox::posix::IpcChannelSide, unsigned long, unsigned long)::[lambda() (instance 1)] LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::UnixDomainSocket::UnixDomainSocket(iox::posix::UnixDomainSocket&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnixDomainSocket::UnixDomainSocket(iox::posix::UnixDomainSocket::NoPathPrefix_t, const iox::string<(unsigned long)107> &, iox::posix::IpcChannelSide, unsigned long, unsigned long) LC=44% 4/9     DC=50% 2/4     SCC=50% 2/4    MCDC=0% 0/2    
  iox::posix::UnixDomainSocket::UnixDomainSocket(iox::posix::UnixDomainSocket::NoPathPrefix_t, const iox::string<(unsigned long)107> &, iox::posix::IpcChannelSide, unsigned long, unsigned long)::[lambda() (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnixDomainSocket::UnixDomainSocket(iox::posix::UnixDomainSocket::NoPathPrefix_t, const iox::string<(unsigned long)107> &, iox::posix::IpcChannelSide, unsigned long, unsigned long)::[lambda(iox::posix::IpcChannelError &) (instance 1)] LC=0% 0/2      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnixDomainSocket::closeFileDescriptor() LC=75% 9/12    DC=63% 5/8     SCC=63% 5/8    MCDC=25% 1/4   
  iox::posix::UnixDomainSocket::convertErrnoToIpcChannelError(int) const LC=4% 2/46     DC=4% 1/24     SCC=0% 0/42    MCDC=0% 0/21   
  iox::posix::UnixDomainSocket::destroy() LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::posix::UnixDomainSocket::initalizeSocket() LC=73% 16/22   DC=60% 6/10    SCC=60% 6/10   MCDC=20% 1/5   
  iox::posix::UnixDomainSocket::initalizeSocket()::[lambda() (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnixDomainSocket::initalizeSocket()::[lambda(T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnixDomainSocket::initalizeSocket()::[lambda(T1) (instance 1)] LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::UnixDomainSocket::initalizeSocket()::[lambda(T1) (instance 2)] LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::UnixDomainSocket::isInitialized() const LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::UnixDomainSocket::operator =(iox::posix::UnixDomainSocket&&) LC=92% 12/13   DC=50% 2/4     SCC=38% 3/8    MCDC=0% 0/4    
  iox::posix::UnixDomainSocket::receive[abi:cxx11]() const LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnixDomainSocket::send(const std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> &) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnixDomainSocket::timedReceive[abi:cxx11](const iox::units::Duration &) const LC=92% 12/13   DC=83% 5/6     SCC=75% 6/8    MCDC=50% 2/4   
  iox::posix::UnixDomainSocket::timedSend(const std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> &, const iox::units::Duration &) const LC=85% 11/13   DC=75% 6/8     SCC=70% 7/10   MCDC=40% 2/5   
  iox::posix::UnixDomainSocket::unlinkIfExists(const iox::string<(unsigned long)107> &) LC=100% 5/5    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::posix::UnixDomainSocket::unlinkIfExists(iox::posix::UnixDomainSocket::NoPathPrefix_t, const iox::string<(unsigned long)107> &) LC=83% 5/6     DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::UnixDomainSocket::~UnixDomainSocket() LC=50% 1/2     DC=50% 1/2     SCC=25% 1/4    MCDC=0% 0/2    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/unnamed_semaphore.cpp LC=44% 11/25   DC=38% 5/13    SCC=36% 8/22   MCDC=18% 2/11  

  iox::posix::UnnamedSemaphore::getHandle() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnnamedSemaphore::~UnnamedSemaphore() LC=38% 3/8     DC=33% 2/6     SCC=25% 2/8    MCDC=0% 0/4    
  iox::posix::UnnamedSemaphoreBuilder::create(iox::optional<iox::posix::UnnamedSemaphore> &) const LC=44% 7/16    DC=43% 3/7     SCC=43% 6/14   MCDC=29% 2/7   

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/compile_test.cpp LC=0% 0/8      DC=0% 0/2      SCC=0% 0/2     MCDC=0% 0/1    

  CompileTest::CompileTest(const std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> &, const std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>> &) LC=0% 0/2      DC=0% 0/2      SCC=N/A        MCDC=N/A       
  CompileTest::verify(const std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> &) const LC=0% 0/6      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/error_reporting/testing_error_handler.cpp LC=97% 32/33   DC=92% 11/12   SCC=78% 14/18  MCDC=56% 5/9   

  iox::testing::TestErrorHandler::TestErrorHandler() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestErrorHandler::hasError() const LC=100% 2/2    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::testing::TestErrorHandler::hasError(iox::er::ErrorCode, iox::er::ModuleId) const LC=88% 7/8     DC=83% 5/6     SCC=67% 4/6    MCDC=33% 1/3   
  iox::testing::TestErrorHandler::hasPanicked() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::testing::TestErrorHandler::hasViolation(iox::er::ErrorCode) const LC=100% 5/5    DC=100% 4/4    SCC=100% 2/2   MCDC=100% 1/1  
  iox::testing::TestErrorHandler::jump() LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::testing::TestErrorHandler::jumpIndicator() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestErrorHandler::onPanic() LC=100% 2/2    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::testing::TestErrorHandler::onReportError(iox::er::ErrorDescriptor) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestErrorHandler::onReportViolation(iox::er::ErrorDescriptor) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestErrorHandler::prepareJump() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestErrorHandler::reset() LC=100% 5/5    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/error_reporting/testing_support.cpp LC=100% 8/8    DC=N/A         SCC=67% 12/18  MCDC=33% 3/9   

  iox::testing::hasAssumptionViolation() LC=100% 2/2    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::testing::hasError()         LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::testing::hasPanicked()      LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::testing::hasPreconditionViolation() LC=100% 2/2    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::testing::hasViolation()     LC=100% 1/1    DC=N/A         SCC=50% 2/4    MCDC=0% 0/2    
  iox::testing::isInNormalState()  LC=100% 1/1    DC=N/A         SCC=50% 3/6    MCDC=0% 0/3    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/include/iceoryx_hoofs/testing/barrier.hpp LC=69% 9/13    DC=100% 2/2    SCC=100% 4/4   MCDC=100% 2/2  

  Barrier::Barrier(unsigned int)   LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  Barrier::notify()                LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  Barrier::reset(unsigned int)     LC=0% 0/4      DC=N/A         SCC=N/A        MCDC=N/A       
  Barrier::wait()                  LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  Barrier::wait()::[lambda() (instance 1)] LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/include/iceoryx_hoofs/testing/error_reporting/testing_support.hpp LC=92% 12/13   DC=67% 4/6     SCC=67% 4/6    MCDC=33% 1/3   

  bool iox::testing::hasError<T1>(T1 &&) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::testing::runInTestThread<T1, T2...>(T1 &&, T2 &&...) LC=100% 4/4    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  void iox::testing::runInTestThread<T1, T2...>(T1 &&, T2 &&...)::[lambda() (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::testing::testContext<T1, T2...>(T1 &&, T2 &&...) LC=83% 5/6     DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/include/iceoryx_hoofs/testing/fatal_failure.inl LC=88% 23/26   DC=67% 4/6     SCC=70% 7/10   MCDC=40% 2/5   

  bool iox::testing::IOX_EXPECT_FATAL_FAILURE<T1>(iox::function_ref<void ()>, T1) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::testing::IOX_EXPECT_FATAL_FAILURE<T1>(iox::function_ref<void ()>, T1)::[lambda() (instance 1)] LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::testing::IOX_EXPECT_FATAL_FAILURE<iox::HoofsError>(iox::function_ref<void ()>, T1)::[lambda(T1, T2) (instance 1)] LC=100% 2/2    DC=50% 2/4     SCC=50% 2/4    MCDC=0% 0/2    
  bool iox::testing::IOX_EXPECT_NO_FATAL_FAILURE<T1>(iox::function_ref<void ()>) LC=50% 1/2     DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::testing::IOX_EXPECT_NO_FATAL_FAILURE<T1>(iox::function_ref<void ()>)::[lambda() (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::testing::IOX_EXPECT_NO_FATAL_FAILURE<iox::HoofsError>(iox::function_ref<void ()>)::[lambda(T1, T2) (instance 1)] LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::testing::detail::IOX_FATAL_FAILURE_TEST<T1>(iox::function_ref<void ()>, iox::function_ref<void (T1, iox::ErrorLevel)>, iox::function_ref<void ()>) LC=100% 4/4    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  bool iox::testing::detail::IOX_FATAL_FAILURE_TEST<T1>(iox::function_ref<void ()>, iox::function_ref<void (T1, iox::ErrorLevel)>, iox::function_ref<void ()>)::[lambda() (instance 1)] LC=100% 11/11  DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  bool iox::testing::detail::IOX_FATAL_FAILURE_TEST<iox::HoofsError>(iox::function_ref<void ()>, iox::function_ref<void (T1, iox::ErrorLevel)>, iox::function_ref<void ()>)::[lambda() (instance 1)]::operator ()() const::[lambda(T1, T2) (instance 1)] LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/include/iceoryx_hoofs/testing/mocks/error_handler_mock.hpp LC=93% 13/14   DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    

  iox::ScopeGuardWithVariableCapacity<(unsigned long)128> iox::ErrorHandlerMock::setTemporaryErrorHandler<T1>(const iox::storable_function<(unsigned long)128, void (T1, iox::ErrorLevel)> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
